symbol,strategy,vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_period,atr_stop,max_hold,markov_gate,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_avg_trade_return_net,train_median_trade_return_net,train_profit_factor,train_sharpe_per_bar,train_max_drawdown,train_exposure,train_trades_per_day,train_fee_to_gross_profit,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_avg_trade_return_net,test_median_trade_return_net,test_profit_factor,test_sharpe_per_bar,test_max_drawdown,test_exposure,test_trades_per_day,test_fee_to_gross_profit,all_bars,all_trades,all_long_trades,all_short_trades,all_wins,all_losses,all_win_rate,all_gross_total_return,all_net_total_return,all_avg_trade_return_net,all_median_trade_return_net,all_profit_factor,all_sharpe_per_bar,all_max_drawdown,all_exposure,all_trades_per_day,all_fee_to_gross_profit,bb_window,squeeze_quantile,rsi_min,atr_trail
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,0.8,10,off,14112,36,9,27,4,32,0.1111111111111111,0.006024205885229339,-0.03652873753388264,-0.0010325629560234133,-0.0015197853251210024,1.561910039319452,-25.274385800907318,-0.03652873753388264,0.0027636054421768708,3.6737297144072,2.578341702312378,6048,18,5,13,1,17,0.05555555555555555,-0.005245455623457795,-0.02652054301400908,-0.0014918940818266216,-0.0015656966732825117,0.3808482151668315,-35.8563696141104,-0.02652054301400908,0.0033068783068783067,4.28642301967918,6.683457041029928,20160,54,14,40,5,49,0.09259259259259259,0.0007471505571334802,-0.062080518592877,-0.0011856733312911496,-0.0015448052138912415,1.0402661239981943,-28.74765940367296,-0.062080518592877,0.0029265873015873016,3.8573341931643434,3.242137267197032,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,0.8,10,neutral_only,14112,21,3,18,1,20,0.047619047619047616,0.0019281364590053585,-0.023017504397618738,-0.0011080437742745151,-0.0014626504595988343,1.3581552198527749,-23.944738147847104,-0.023017504397618738,0.0015589569160997733,2.1430090000708666,3.4412956565297095,6048,8,1,7,0,8,0.0,-0.0007786843720763992,-0.010331944139273186,-0.0012972732906423522,-0.0015002051688850703,0.61496388524392,-25.002926714253203,-0.010331944139273186,0.001488095238095238,1.9050768976351913,7.7239506937461195,20160,29,4,25,1,28,0.034482758620689655,0.0011479506772009707,-0.033111632967230076,-0.0011602450201690909,-0.0014626504595988343,1.155527183130667,-24.26141551105212,-0.033111632967230076,0.0015376984126984127,2.0715313259586288,4.062710236325441,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,0.8,10,contrarian_ok,14112,23,3,20,2,21,0.08695652173913043,0.0031217509454526393,-0.024198356707558544,-0.0010642135702773412,-0.0014626504595988343,1.536802819081022,-24.236488318922984,-0.024198356707558544,0.0017006802721088435,2.3471050953157113,3.086892574200359,6048,10,3,7,1,9,0.1,0.000550155702351729,-0.011391166780322926,-0.0011447895094994207,-0.001454612381631436,1.2419154881142622,-25.68990474692515,-0.011391166780322926,0.0018187830687830687,2.381346122043989,4.233809092611353,20160,33,6,27,3,30,0.09090909090909091,0.00367362409688865,-0.03531387597081603,-0.0010886305215567595,-0.0014611486347771085,1.4537182828128525,-24.679208384303806,-0.03531387597081603,0.001736111111111111,2.3572597847115433,3.3629552442321415,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,0.8,20,off,14112,36,9,27,5,31,0.1388888888888889,0.0002733509095593778,-0.04204294491315552,-0.0011916938041251885,-0.0016102997513291128,1.020650255960226,-25.858737515454123,-0.04204294491315552,0.0027636054421768708,3.6737297144072,2.922991604824261,6048,18,5,13,3,15,0.16666666666666666,-0.0018136177405434495,-0.023158069594762076,-0.0013001468997505562,-0.0016052320870593927,0.7991735893838858,-29.30465813165534,-0.023158069594762076,0.0033068783068783067,4.28642301967918,3.0110879416753074,20160,54,14,40,8,46,0.14814814814814814,-0.0015407625850432094,-0.06422738106364967,-0.0012278448360003111,-0.0016102997513291128,0.9358974276318165,-26.938342029522843,-0.06422738106364967,0.0029265873015873016,3.8573341931643434,2.9517786402120043,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,0.8,20,neutral_only,14112,21,3,18,3,18,0.14285714285714285,-0.0013907630189213815,-0.026257654824006105,-0.0012659643059469638,-0.0015985751331483377,0.8117781129262867,-23.79682251949292,-0.026257654824006105,0.0015589569160997733,2.1430090000708666,4.217985031911644,6048,8,1,7,2,6,0.25,0.0020239066403868744,-0.00755281276577946,-0.0009466921047740983,-0.0015002051688850703,2.0026666844593826,-17.72682237602109,-0.00798726847727127,0.001488095238095238,1.9050768976351913,2.3718129256945364,20160,29,4,25,5,24,0.1724137931034483,0.0006303288469566848,-0.033612148439231326,-0.0011778892159682423,-0.0015523342092843772,1.0683541694058303,-22.0886617999582,-0.03403519636261454,0.0015376984126984127,2.0715313259586288,3.472376949525328,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,0.8,20,contrarian_ok,14112,23,3,20,3,20,0.13043478260869565,-0.0008477030753697434,-0.028064333267668107,-0.0012365661115126745,-0.0015985751331483377,0.8919811277079561,-24.75184585289607,-0.028064333267668107,0.0017006802721088435,2.3471050953157113,3.974169992846918,6048,10,3,7,3,7,0.3,0.004893688280356523,-0.007094314630954002,-0.0007108735299269907,-0.001454612381631436,3.1432026356671683,-14.223378134464951,-0.007094314630954002,0.0018187830687830687,2.381346122043989,1.6728266342640596,20160,33,6,27,6,27,0.18181818181818182,0.00404183681038206,-0.03495955068851342,-0.0010772653292139825,-0.0015372762184981059,1.402285287123261,-21.559526960509125,-0.03495955068851342,0.001736111111111111,2.3572597847115433,2.804863661161959,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,1.2,10,off,14112,35,9,26,4,31,0.11428571428571428,0.002788362369376518,-0.03847760486496321,-0.001119737569856497,-0.0015327506959278636,1.197612987760354,-24.796476997429078,-0.03847760486496321,0.0027636054421768708,3.571681666784778,2.4669930634855084,6048,17,5,12,1,16,0.058823529411764705,-0.0077856593780955,-0.027842816212232946,-0.001659302999104506,-0.0017315252690616389,0.29274067497845385,-34.22637286789783,-0.027842816212232946,0.0033068783068783067,4.048288407474781,6.312153872083821,20160,52,14,38,5,47,0.09615384615384616,-0.005019006248349833,-0.06524909619665409,-0.001296133960187577,-0.0016440915516139564,0.8020650541704466,-27.90596575164867,-0.06524909619665409,0.0029265873015873016,3.7144699637878866,3.080472206917898,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,1.2,10,neutral_only,14112,20,3,17,1,19,0.05,0.00027233522272318567,-0.023462173826792165,-0.0011861064913643068,-0.0015282342363626344,1.04161278650765,-23.111428752262874,-0.023462173826792165,0.0015589569160997733,2.040960952448444,3.450561771637618,6048,8,1,7,0,8,0.0,-0.0017883779088615492,-0.011333185717210537,-0.0014235903904084096,-0.001650307753327439,0.4099759234959392,-24.8162213122998,-0.011333185717210537,0.001488095238095238,1.9050768976351913,7.7239506937461195,20160,28,4,24,1,27,0.03571428571428571,-0.0015165297244347231,-0.03452945837069421,-0.0012539590339483363,-0.0015524324443281434,0.8443884216018293,-23.633593501431257,-0.03452945837069421,0.0015376984126984127,2.0000992112704004,4.098422420107911,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,1.2,10,contrarian_ok,14112,22,3,19,2,20,0.09090909090909091,0.0012504742315999628,-0.02485067584261491,-0.001142873754919379,-0.0015282342363626344,1.1717655486738878,-23.456966023679893,-0.02485067584261491,0.0017006802721088435,2.245057047693289,3.0792213069522942,6048,10,3,7,1,9,0.1,-0.0005914288319703864,-0.012520481775832981,-0.0012589006210511277,-0.0015819185724470707,0.8279436587428147,-25.618766848575593,-0.012520481775832981,0.0018187830687830687,2.381346122043989,4.233809092611353,20160,32,6,26,3,29,0.09375,0.0006583058331151026,-0.03706001518444335,-0.0011791321505855504,-0.0015524324443281434,1.0621752069786754,-24.124624031464652,-0.03706001518444335,0.001736111111111111,2.285827670023315,3.366081535970604,,,,
BTCUSDT,vwap_volume_rsi_reversion,120.0,240.0,1.0,30.0,65.0,1.2,14,1.2,20,off,14112,35,9,26,5,30,0.14285714285714285,-0.0023604569516526563,-0.04342046571800018,-0.0012666770243924504,-0.001810137592945259,0.8718141225217358,-25.223282617139517,-0.04342046571800018,0.0027636054421768708,3.571681666784778,2.646191783172389,6048,17,5,12,3,14,0.17647058823529413,-0.004606724120927219,-0.02472440247655716,-0.0014706935497369206,-0.0017655647507860627,0.609198982141839,-28.56049948439311,-0.02472440247655716,0.0033068783068783067,4.048288407474781,2.8438052782489014,20160,52,14,38,8,44,0.15384615384615385,-0.006956307098604619,-0.06707132312442576,-0.00133337473460122,-0.0017878511718656608,0.7686693727712961,-26.266655061905798,-0.06707132312442576,0.0029265873015873016,3.7144699637878866,2.707704308541206,,,,
